code,description
P0100,Mass or Volume Air Flow Circuit Malfunction
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem
P0102,Mass or Volume Air Flow Circuit Low Input
P0103,Mass or Volume Air Flow Circuit High Input
P0104,Mass or Volume Air Flow Circuit Intermittent
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
P0110,IAT Circuit Malfunction
P0111,Intake Air Temperature Circuit Range/Performance Problem
P0112,Intake Air Temperature Circuit Low Input
P0113,Intake Air Temperature Circuit High Input
P0114,Intake Air Temperature Circuit Intermittent
P0115,Engine Coolant Temperature Circuit Malfunction
P0116,Engine Coolant Temperature Circuit Range/Performance Problem
P0117,Engine Coolant Temperature Circuit Low Input
P0118,Engine Coolant Temperature Circuit High Input
P0119,Engine Coolant Temperature Circuit Intermittent
P0120,Throttle Position Sensor/Switch A Circuit Malfunction
P0121,Throttle Position Sensor/Switch A Circuit Range/Performance Problem
P0122,Throttle Position Sensor/Switch A Circuit Low Input
P0123,Throttle Position Sensor/Switch A Circuit High Input
P0124,Throttle Position Sensor/Switch A Circuit Intermittent
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control;
P0126,ECT Excessive Time to Closed Loop Fuel Control
P0128,Insufficient Coolant Temperature for Stable Operation
P0130,Coolant Thermostat Malfunction
P0131,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
P0132,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
P0133,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
P0134,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P0135,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
P0136,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P0137,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
P0138,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
P0139,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
P0140,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
P0141,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
P0142,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P0143,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3)
P0144,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
P0145,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3)
P0146,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3)
P0147,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
P0150,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
P0151,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
P0152,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
P0153,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
P0154,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
P0155,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
P0156,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
P0157,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2)
P0158,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
P0159,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2)
P0160,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2)
P0161,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
P0162,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
P0163,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3)
P0164,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
P0165,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3)
P0166,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3)
P0167,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
P0170,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
P0171,Fuel Trim Malfunction (Bank 1)
P0172,Fuel Trim System Lean (Bank 1)
P0173,Fuel Trim too Rich (Bank 1)
P0174,Fuel Trim Malfunction (Bank 2)
P0175,Fuel Trim too Lean (Bank 2)
P0176,Fuel Trim too Rich (Bank 2)
P0177,Fuel Composition Sensor Circuit Malfunction
P0178,Fuel Composition Sensor Circuit Range/Performance
P0179,Fuel Composition Sensor Circuit Low Input
P0180,Fuel Composition Sensor Circuit High Input
P0181,Fuel Temperature Sensor A Circuit Malfunction
P0182,Fuel Temperature Sensor A Circuit Range/Performance
P0183,Fuel Temperature Sensor A Circuit Low Input
P0184,Fuel Temperature Sensor A Circuit High Input
P0185,Fuel Temperature Sensor A Circuit Intermittent
P0186,Fuel Temperature Sensor B Circuit Malfunction
P0187,Fuel Temperature Sensor B Circuit Range/Performance
P0188,Fuel Temperature Sensor B Circuit Low Input
P0189,Fuel Temperature Sensor B Circuit High Input
P0190,Fuel Temperature Sensor B Circuit Intermittent
P0191,Fuel Rail Pressure Sensor Circuit Malfunction
P0192,Fuel Rail Pressure Sensor Circuit Range/Performance
P0193,Fuel Rail Pressure Sensor Circuit Low Input
P0194,Fuel Rail Pressure Sensor Circuit High Input
P0195,Fuel Rail Pressure Sensor Circuit Intermittent
P0196,Engine Oil Temperature Sensor Malfunction
P0197,Engine Oil Temperature Sensor Range/Performance
P0198,Engine Oil Temperature Sensor Low
P0199,Engine Oil Temperature Sensor High
P0200,Engine Oil Temperature Sensor Intermittent
P0201,Injector Circuit Malfunction
P0202,Injector Circuit Malfunction - Cylinder 1
P0203,Injector Circuit Malfunction - Cylinder 2
P0204,Injector Circuit Malfunction - Cylinder 3
P0205,Injector Circuit Malfunction - Cylinder 4
P0206,Injector Circuit Malfunction - Cylinder 5
P0207,Injector Circuit Malfunction - Cylinder 6
P0208,Injector Circuit Malfunction - Cylinder 7
P0209,Injector Circuit Malfunction - Cylinder 8
P0210,Injector Circuit Malfunction - Cylinder 9
P0211,Injector Circuit Malfunction - Cylinder 10
P0212,Injector Circuit Malfunction - Cylinder 11
P0213,Injector Circuit Malfunction - Cylinder 12
P0214,Cold Start Injector 1 Malfunction
P0215,Cold Start Injector 2 Malfunction
P0216,Engine Shutoff Solenoid Malfunction
P0217,Injection Timing Control Circuit Malfunction
P0218,Engine Overtemp Condition
P0219,Transmission Over Temperature Condition
P0220,Engine Overspeed Condition
P0221,Throttle/Petal Position Sensor/Switch B Circuit Malfunction
P0222,Throttle/Petal Position Sensor/Switch B Circuit Range/Performance Problem
P0223,Throttle/Petal Position Sensor/Switch B Circuit Low Input
P0224,Throttle/Petal Position Sensor/Switch B Circuit High Input
P0225,Throttle/Petal Position Sensor/Switch B Circuit Intermittent
P0226,Throttle/Petal Position Sensor/Switch C Circuit Malfunction
P0227,Throttle/Petal Position Sensor/Switch C Circuit Range/Performance Problem
P0228,Throttle/Petal Position Sensor/Switch C Circuit Low Input
P0229,Throttle/Petal Position Sensor/Switch C Circuit High Input
P0230,Throttle/Petal Position Sensor/Switch C Circuit Intermittent
P0231,Fuel Pump Primary Circuit Malfunction
P0232,Fuel Pump Secondary Circuit Low
P0233,Fuel Pump Secondary Circuit High
P0234,Fuel Pump Secondary Circuit Intermittent
P0235,Engine Overboost Condition
P0236,Turbocharger Boost Sensor A Circuit Malfunction
P0237,Turbocharger Boost Sensor A Circuit Range/Performance
P0238,Turbocharger Boost Sensor A Circuit Low
P0239,Turbocharger Boost Sensor A Circuit High
P0240,Turbocharger Boost Sensor B Malfunction
P0241,Turbocharger Boost Sensor B Circuit Range/Performance
P0242,Turbocharger Boost Sensor B Circuit Low
P0243,Turbocharger Boost Sensor B Circuit High
P0244,Turbocharger Wastegate Solenoid A Malfunction
P0245,Turbocharger Wastegate Solenoid A Range/Performance
